127.0.0.1 - - [11/Nov/2022:01:03:14 +0700] "POST /Shop/login HTTP/1.1" 302 -
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/home HTTP/1.1" 200 10522
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/app/fontawesome-6.2.0/css/brands.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/app/fontawesome-6.2.0/css/solid.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/app/fontawesome-6.2.0/css/fontawesome.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/app/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/app/img/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/app/img/undraw_profile_1.svg HTTP/1.1" 200 2163
127.0.0.1 - - [11/Nov/2022:01:03:15 +0700] "GET /Shop/app/fontawesome-6.2.0/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
127.0.0.1 - - [11/Nov/2022:01:03:23 +0700] "GET /Shop/home?page=2&keySeach= HTTP/1.1" 200 9751
127.0.0.1 - - [11/Nov/2022:01:03:23 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:23 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:23 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:03:23 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:23 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:23 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:33 +0700] "GET /Shop/cart HTTP/1.1" 200 7274
127.0.0.1 - - [11/Nov/2022:01:03:33 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:03:33 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:33 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:33 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:33 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:33 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:43 +0700] "GET /Shop/home HTTP/1.1" 200 10522
127.0.0.1 - - [11/Nov/2022:01:03:43 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:03:43 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:43 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:43 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:43 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:43 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:44 +0700] "GET /Shop/detail?id=14 HTTP/1.1" 200 6717
